trade_id,stock_symbol,quantity,purchase_price,sale_price,purchase_date,sale_date,profit,transaction_fee,net_profit
23,KTP,8960,566.28,200.38,9/10/2014,1/31/2002,-365.9,34.94,-400.84
24,AF,3509,580.91,772.87,8/21/2002,2/5/2012,191.96,97.6,94.36
25,KGC,3001,144.43,423.66,11/25/2019,2/8/2007,279.23,16.42,262.81
26,CVO,3719,437.97,248.03,1/9/2011,7/31/2005,-189.94,83.47,-273.41
27,AXP,1817,384.04,397.01,8/10/2008,12/28/2019,12.97,89.41,-76.44
28,BNCL,1811,932.25,684.22,10/8/2005,1/24/2022,-248.03,97.56,-345.59
29,RCON,5744,59.38,42.94,10/6/2012,5/5/2016,-16.44,8.07,-24.51
30,AFH,3935,981.65,524.32,3/22/2002,11/29/2007,-457.33,49.64,-506.97
31,WFM,3765,368.95,247.51,3/29/2007,11/29/2005,-121.44,9.67,-131.11
32,SRI,5355,598.91,123.08,11/13/2014,10/2/2004,-475.83,10.74,-486.57
33,DDD,7480,617.5,882.71,12/12/2015,7/26/2015,265.21,21.72,243.49
34,VTGN,8941,397.35,277.65,7/11/2000,2/12/2017,-119.7,96.59,-216.29
35,HBM.WS,1409,866.59,736.72,9/14/2005,12/20/2011,-129.87,96.04,-225.91
36,OSBC,3595,523.1,329.38,5/5/2017,7/17/2009,-193.72,11.28,-205.0
37,ISSC,5338,519.09,995.98,9/1/2001,4/10/2015,476.89,40.4,436.49
38,RAVN,798,140.14,467.38,2/1/2002,6/11/2015,327.24,54.89,272.35
39,MYCC,8942,965.02,73.76,6/15/2011,6/11/2018,-891.26,84.62,-975.88
40,KED,1778,281.14,27.13,6/28/2018,12/11/2017,-254.01,35.34,-289.35
41,VSM,1742,462.16,439.79,3/17/2004,4/23/2014,-22.37,74.84,-97.21
42,AAWW,4766,331.89,50.82,5/20/2002,9/14/2011,-281.07,24.36,-305.43
43,ARH^C,4795,387.14,924.08,6/16/2006,5/31/2021,536.94,25.15,511.79
44,BAC^L,3831,543.34,385.29,1/25/2001,6/13/2019,-158.05,62.5,-220.55
45,DHR,3513,241.86,930.23,3/18/2012,2/10/2003,688.37,90.56,597.81
46,HZO,5290,400.42,57.74,7/28/2008,5/6/2005,-342.68,1.2,-343.88
47,FIT,965,559.52,265.95,4/10/2011,10/26/2000,-293.57,30.98,-324.55
48,ACXM,7545,673.09,247.44,4/6/2012,8/8/2014,-425.65,36.37,-462.02
49,SXI,5807,619.51,672.61,12/7/2015,7/2/2016,53.1,72.36,-19.26
50,PFO,5801,13.28,52.23,12/20/2007,8/16/2009,38.95,39.25,-0.3
51,AINV,1974,330.82,67.15,7/20/2008,6/27/2000,-263.67,51.88,-315.55
52,HBM,952,193.78,461.19,4/21/2005,4/15/2003,267.41,35.22,232.19
53,ORBC,5049,329.56,747.28,12/22/2014,4/24/2006,417.72,43.28,374.44
54,BGC,3826,645.2,7.09,7/24/2000,1/23/2014,-638.11,25.87,-663.98
55,SNAK,2719,359.53,207.98,1/26/2004,10/14/2019,-151.55,53.03,-204.58
56,HUN,2645,297.05,383.0,7/2/2001,8/29/2013,85.95,49.74,36.21
57,NDP,3880,563.19,847.48,5/28/2015,2/6/2003,284.29,55.23,229.06
58,SCM,6611,34.7,401.46,6/29/2007,10/12/2010,366.76,78.13,288.63
59,TOO^A,8274,286.26,401.25,12/24/2003,8/20/2004,114.99,31.12,83.87
60,HGV,8578,443.29,788.66,2/4/2004,2/23/2000,345.37,0.9,344.47
61,CIVBP,4592,672.25,693.07,3/31/2010,5/17/2012,20.82,85.31,-64.49
62,PRE^H,6605,635.35,869.92,10/6/2021,11/13/2001,234.57,32.5,202.07
63,NKSH,8032,177.89,451.68,11/15/2005,10/19/2011,273.79,91.58,182.21
64,VEDL,141,481.37,204.95,7/11/2011,9/12/2018,-276.42,37.81,-314.23
65,GBDC,1994,813.12,346.49,11/10/2016,9/9/2010,-466.63,59.11,-525.74
66,GEB,1649,814.09,313.89,9/21/2001,11/21/2000,-500.2,29.68,-529.88
67,COLL,6664,741.42,177.52,11/11/2020,2/17/2010,-563.9,2.25,-566.15
68,VGLT,6544,918.81,452.94,12/30/2012,11/23/2006,-465.87,76.8,-542.67
69,DNKN,5601,407.29,903.65,5/13/2014,6/10/2006,496.36,50.54,445.82
70,HRTX,5148,201.4,916.33,2/18/2014,9/5/2022,714.93,0.85,714.08
71,SELB,1688,459.43,34.38,4/9/2005,8/29/2022,-425.05,71.53,-496.58
72,SNGXW,4702,50.29,976.24,11/2/2015,10/16/2017,925.95,5.17,920.78
73,DISCA,625,824.11,326.61,1/13/2003,8/6/2007,-497.5,89.33,-586.83
74,CRT,7224,751.22,130.89,11/6/2017,5/7/2008,-620.33,46.4,-666.73
75,ABBV,4966,231.84,82.13,1/20/2019,12/2/2004,-149.71,86.2,-235.91
76,EVC,5589,790.78,119.16,12/13/2005,2/22/2005,-671.62,14.85,-686.47
77,CID,7514,777.17,304.66,7/4/2011,12/5/2021,-472.51,21.88,-494.39
78,DDR^A,5939,113.35,880.94,7/4/2003,4/8/2009,767.59,3.18,764.41
79,KTOS,1054,761.09,774.45,8/25/2013,10/4/2013,13.36,31.43,-18.07
80,DK,4374,273.09,520.26,4/19/2013,7/5/2004,247.17,33.6,213.57
81,FCAU,5245,110.86,144.52,12/24/2015,1/29/2018,33.66,53.0,-19.34
82,CMRX,7023,152.29,610.97,10/23/2016,11/20/2000,458.68,47.34,411.34
83,FRPH,2687,492.07,539.04,3/30/2013,10/5/2006,46.97,87.43,-40.46
84,MEET,7635,405.44,845.07,10/9/2011,2/27/2022,439.63,1.17,438.46
85,ALLT,9073,602.29,952.34,12/5/2008,9/12/2012,350.05,60.64,289.41
86,PCH,8308,106.15,530.55,1/31/2016,9/5/2005,424.4,81.58,342.82
87,MDU,8614,108.35,334.05,10/30/2008,4/2/2002,225.7,14.19,211.51
88,AES,7228,797.32,704.94,7/25/2014,7/13/2002,-92.38,43.3,-135.68
89,MCRB,165,423.42,106.55,7/12/2021,5/31/2015,-316.87,47.23,-364.1
90,ALNY,113,517.57,838.52,7/14/2020,2/23/2009,320.95,39.01,281.94
91,TST,3072,331.64,637.08,1/14/2007,1/22/2005,305.44,98.49,206.95
92,GNRT,6442,661.47,760.53,7/27/2016,9/21/2018,99.06,88.07,10.99
93,DFT,9507,42.8,534.1,12/23/2018,2/20/2003,491.3,78.92,412.38
94,AFSI^B,2513,14.39,3.32,1/31/2021,9/14/2002,-11.07,54.01,-65.08
95,KRP,4739,641.66,255.83,8/25/2008,2/22/2010,-385.83,64.95,-450.78
96,WBK,6917,672.64,903.45,12/27/2010,10/15/2011,230.81,28.39,202.42
97,BKN,5530,475.84,16.08,4/19/2002,2/5/2015,-459.76,85.06,-544.82
98,HUNTW,5131,249.84,814.18,10/11/2005,12/9/2005,564.34,9.4,554.94
99,CPAAW,3838,243.12,748.79,12/17/2019,8/14/2000,505.67,88.39,417.28
100,SNFCA,5667,130.18,550.17,12/11/2020,10/3/2006,419.99,47.05,372.94
101,AKAO,6182,708.61,409.46,4/24/2022,11/8/2000,-299.15,40.89,-340.04
102,IHD,8494,427.08,832.67,11/1/2007,4/19/2000,405.59,84.96,320.63
103,KEYW,348,375.15,714.67,12/9/2010,2/22/2014,339.52,44.53,294.99
104,VNO^K,3053,575.72,510.23,12/2/2010,5/15/2017,-65.49,77.1,-142.59
105,SITE,4571,38.72,354.11,11/26/2002,7/2/2007,315.39,7.37,308.02
106,FNF,8136,200.84,61.28,4/3/2011,10/6/2005,-139.56,72.08,-211.64
107,STI.WS.B,7310,919.92,780.97,5/11/2019,8/21/2005,-138.95,33.55,-172.5
108,CXO,500,982.96,573.28,4/16/2013,9/21/2008,-409.68,50.87,-460.55
109,GCBC,4580,939.85,716.88,11/3/2019,1/10/2002,-222.97,78.72,-301.69
110,CYRN,1419,80.84,394.23,7/7/2003,12/24/2012,313.39,66.38,247.01
111,SWJ,564,753.22,392.24,12/18/2013,10/28/2018,-360.98,75.95,-436.93
112,IP,9692,393.12,884.01,11/28/2017,2/24/2018,490.89,71.68,419.21
113,CELP,6714,138.02,307.17,7/21/2012,5/22/2006,169.15,45.78,123.37
114,ALGT,7439,515.13,155.7,1/9/2003,2/3/2010,-359.43,52.9,-412.33
115,ULBI,8952,358.28,795.54,3/3/2010,2/18/2019,437.26,1.83,435.43
116,POL,6162,801.39,376.52,11/17/2017,12/5/2004,-424.87,42.99,-467.86
117,MED,1984,78.73,699.21,7/6/2005,11/23/2006,620.48,13.02,607.46
118,PHM,5659,330.96,392.3,5/6/2018,3/15/2003,61.34,17.47,43.87
119,AHPA,6193,768.94,443.12,3/11/2022,7/5/2007,-325.82,79.58,-405.4
120,RXN,3244,450.08,730.06,11/19/2010,5/9/2002,279.98,16.36,263.62
121,MHK,3174,166.71,58.84,4/26/2017,11/27/2005,-107.87,43.46,-151.33
122,FPL,3277,391.28,574.8,8/29/2018,10/27/2020,183.52,90.6,92.92
123,FSB,2553,669.16,677.93,12/26/2015,1/24/2006,8.77,74.34,-65.57
124,NAKD,9658,139.24,333.22,9/13/2000,7/4/2022,193.98,13.77,180.21
125,BWINB,312,648.3,61.99,4/27/2005,11/15/2018,-586.31,28.53,-614.84
126,TEDU,8150,331.7,350.9,12/1/2008,5/15/2014,19.2,38.63,-19.43
127,T,7229,276.39,372.31,12/18/2010,7/31/2015,95.92,72.24,23.68
128,PBCTP,4771,434.89,536.39,9/13/2016,7/14/2018,101.5,40.11,61.39
129,PNI,6167,772.6,248.12,11/22/2007,4/26/2022,-524.48,81.84,-606.32
130,CTX,4846,135.27,683.81,5/26/2013,11/23/2015,548.54,14.89,533.65
131,SCCO,7553,672.78,131.77,10/10/2021,1/31/2005,-541.01,47.62,-588.63
132,FNTE,5619,636.43,664.44,8/15/2022,2/2/2013,28.01,3.73,24.28
133,PEB^D,3731,898.8,114.22,1/24/2021,6/7/2005,-784.58,35.9,-820.48
134,HLNE,10000,140.35,663.94,9/10/2008,11/28/2016,523.59,3.04,520.55
135,VEC,3188,73.0,353.81,11/9/2011,3/27/2005,280.81,38.13,242.68
136,ATH,4940,231.95,9.79,4/25/2009,3/7/2009,-222.16,3.18,-225.34
137,MBUU,9954,874.4,655.12,3/6/2020,11/25/2010,-219.28,36.87,-256.15
138,ETH,4306,360.68,192.98,2/21/2011,2/28/2019,-167.7,68.66,-236.36
139,PMO,1609,181.28,197.94,12/8/2018,3/14/2009,16.66,65.29,-48.63
140,NDRA,5036,246.52,973.96,9/17/2014,10/26/2020,727.44,72.57,654.87
141,ESLT,94,338.49,572.22,4/5/2007,10/29/2002,233.73,90.04,143.69
142,PRAH,5278,311.21,388.03,11/16/2010,11/30/2019,76.82,44.2,32.62
143,FTLB,8050,983.45,70.02,5/14/2016,9/28/2013,-913.43,32.65,-946.08
144,INDB,5199,713.2,662.71,11/7/2005,12/11/2004,-50.49,57.8,-108.29
145,PANL,4741,226.29,845.16,3/13/2004,3/3/2017,618.87,39.22,579.65
146,IIIN,8223,102.52,968.99,6/29/2019,3/21/2004,866.47,66.87,799.6
147,PCAR,3920,284.99,821.08,7/18/2001,4/13/2013,536.09,32.76,503.33
148,TGS,5158,150.59,624.56,5/10/2001,12/2/2022,473.97,50.49,423.48
149,CHH,4777,482.95,358.43,5/26/2011,12/18/2016,-124.52,46.74,-171.26
150,XGTIW,4499,200.65,222.36,12/26/2007,12/13/2017,21.71,44.35,-22.64
151,PPIH,3846,108.0,342.04,8/28/2017,6/6/2016,234.04,40.83,193.21
152,MNOV,3066,537.91,392.09,4/1/2006,5/7/2002,-145.82,55.32,-201.14
153,OMC,7924,719.68,764.18,11/11/2020,9/26/2001,44.5,38.63,5.87
154,CHEKW,9904,267.63,940.14,9/6/2015,9/27/2020,672.51,93.24,579.27
155,DVMT,4592,938.01,101.09,9/16/2005,4/25/2011,-836.92,98.75,-935.67
156,NOVN,2732,607.55,616.99,1/20/2014,12/2/2002,9.44,39.26,-29.82
157,HBHCL,7640,791.28,315.16,5/30/2008,9/30/2019,-476.12,23.46,-499.58
158,PIH,6238,345.62,461.98,12/2/2022,8/11/2000,116.36,80.18,36.18
159,CYRN,9929,328.99,966.18,7/16/2002,4/29/2014,637.19,31.71,605.48
160,ADI,8320,205.29,214.75,9/23/2004,1/13/2008,9.46,9.15,0.31
161,CNBKA,8089,395.73,679.06,11/13/2012,6/23/2017,283.33,64.52,218.81
162,GEL,9059,708.7,637.34,1/7/2002,11/7/2002,-71.36,67.09,-138.45
163,WTS,6745,896.58,896.43,6/2/2010,3/9/2003,-0.15,33.68,-33.83
164,NODK,8879,890.94,520.54,5/7/2001,8/12/2011,-370.4,41.39,-411.79
165,NLSN,8378,250.79,419.94,2/5/2014,2/27/2000,169.15,96.95,72.2
166,NSH,8301,394.21,228.2,1/13/2015,9/25/2009,-166.01,47.09,-213.1
167,TCBI,2016,333.79,113.84,9/3/2000,1/8/2022,-219.95,87.37,-307.32
168,ACGL,7528,595.47,442.79,11/9/2019,6/6/2014,-152.68,69.67,-222.35
169,LTC,3559,905.06,900.42,5/14/2019,1/4/2007,-4.64,2.48,-7.12
170,APTS,1604,908.32,270.57,7/10/2006,4/29/2014,-637.75,8.38,-646.13
171,NESR,1507,747.49,910.96,11/24/2017,2/16/2014,163.47,72.53,90.94
172,AUPH,7931,345.1,210.91,3/10/2022,10/24/2015,-134.19,19.19,-153.38
173,TDS,3872,881.75,611.87,12/29/2014,10/2/2019,-269.88,95.8,-365.68
174,GHY,8316,879.06,635.87,10/16/2013,4/12/2019,-243.19,67.58,-310.77
175,CERS,5952,753.32,494.81,5/10/2000,4/11/2008,-258.51,66.99,-325.5
176,DHG,3768,927.78,135.87,4/30/2014,2/2/2021,-791.91,54.42,-846.33
177,STMP,5214,165.33,2.09,9/15/2018,1/5/2007,-163.24,35.2,-198.44
178,USOI,8928,964.33,147.2,9/9/2011,6/29/2021,-817.13,4.49,-821.62
179,WLTW,9156,543.75,840.36,1/17/2017,4/13/2022,296.61,98.63,197.98
180,FHY,7585,415.51,426.07,2/24/2020,4/10/2001,10.56,30.9,-20.34
181,FSV,5671,348.53,360.72,7/9/2001,8/26/2003,12.19,53.23,-41.04
182,FTI,7580,77.57,917.86,10/7/2015,3/7/2008,840.29,91.41,748.88
183,GNRC,146,522.45,505.51,4/21/2015,9/9/2010,-16.94,0.39,-17.33
184,RIC,5230,383.93,135.15,7/16/2008,2/24/2002,-248.78,42.52,-291.3
185,POOL,5107,891.34,446.67,4/30/2005,11/5/2022,-444.67,66.54,-511.21
186,PSA^A,1459,346.08,192.15,5/20/2021,3/11/2014,-153.93,35.36,-189.29
187,YY,8984,417.47,221.83,5/4/2013,1/8/2013,-195.64,29.48,-225.12
188,OXLCN,6664,93.98,805.05,12/16/2018,3/17/2022,711.07,7.61,703.46
189,KEF,9353,831.88,569.32,11/5/2020,10/9/2021,-262.56,91.67,-354.23
190,CBF,986,967.95,727.19,8/12/2018,9/10/2000,-240.76,25.89,-266.65
191,ARRS,8366,181.5,820.92,3/19/2004,7/31/2010,639.42,63.05,576.37
192,CCI,978,430.42,253.41,2/6/2008,1/7/2001,-177.01,33.56,-210.57
193,FEYE,5251,372.05,304.4,8/13/2017,10/17/2002,-67.65,91.06,-158.71
194,GNK,9615,208.68,531.7,9/18/2003,2/8/2021,323.02,60.78,262.24
195,FTXD,1763,616.31,811.8,8/24/2004,5/17/2015,195.49,40.78,154.71
196,JPM^G,8197,27.2,331.11,7/30/2015,9/25/2018,303.91,62.23,241.68
197,BLD,2772,883.64,234.09,10/2/2004,1/2/2022,-649.55,47.19,-696.74
198,CE,60,507.69,440.99,12/13/2021,9/10/2022,-66.7,75.21,-141.91
199,REXR,3565,252.45,293.25,2/26/2019,8/10/2002,40.8,60.38,-19.58
200,AGO,41,134.79,577.34,4/26/2002,8/23/2009,442.55,1.28,441.27
201,BNFT,9403,317.48,673.02,2/27/2011,5/6/2003,355.54,2.45,353.09
202,ADXS,9359,84.73,581.99,3/26/2020,4/2/2003,497.26,92.44,404.82
203,CELP,2270,435.49,450.92,11/17/2018,3/17/2011,15.43,5.69,9.74
204,PEBK,4366,57.32,800.55,6/30/2019,7/4/2007,743.23,75.01,668.22
205,NVMI,977,791.23,715.55,11/3/2012,7/29/2008,-75.68,92.84,-168.52
206,BRID,4599,807.97,595.8,6/21/2012,3/16/2019,-212.17,72.57,-284.74
207,TGTX,1194,324.32,910.7,9/21/2009,11/15/2002,586.38,97.66,488.72
208,EDIT,3040,742.43,488.8,4/2/2005,10/28/2016,-253.63,33.89,-287.52
209,AGRO,336,408.57,575.01,5/10/2013,12/15/2000,166.44,29.01,137.43
210,TEF,833,663.04,866.0,3/27/2012,8/26/2005,202.96,73.71,129.25
211,GTLS,1360,906.28,115.06,3/10/2006,7/2/2009,-791.22,48.31,-839.53
212,REVG,1467,840.93,475.04,6/5/2007,6/18/2014,-365.89,78.78,-444.67
213,MMD,3522,329.77,941.36,12/22/2004,4/9/2005,611.59,85.59,526.0
214,STAR^F,3985,174.96,874.44,4/7/2003,8/20/2010,699.48,37.01,662.47
215,LBTYA,1781,733.21,97.65,3/26/2002,8/7/2006,-635.56,35.09,-670.65
216,NDRO,5284,352.39,104.26,5/5/2017,7/24/2014,-248.13,54.34,-302.47
217,AFSI^F,3653,246.47,590.27,12/19/2012,6/19/2012,343.8,3.97,339.83
218,VTL,7399,606.59,559.41,3/29/2017,11/15/2019,-47.18,33.95,-81.13
219,MNKD,4423,57.9,184.81,7/28/2006,1/5/2001,126.91,49.83,77.08
220,CSII,721,957.75,507.79,4/12/2000,9/2/2016,-449.96,20.29,-470.25
221,CPLP,4307,480.24,948.14,2/25/2022,3/25/2021,467.9,18.05,449.85
222,BBGI,4197,516.23,217.08,6/3/2007,7/2/2000,-299.15,70.36,-369.51
223,LITB,2621,18.73,351.81,11/21/2011,1/8/2004,333.08,33.9,299.18
224,LPCN,7572,617.08,626.33,5/14/2002,1/14/2014,9.25,74.37,-65.12
225,AZRE,462,882.89,438.52,6/28/2019,5/17/2021,-444.37,30.49,-474.86
226,BCH,157,219.17,296.34,1/28/2011,2/22/2001,77.17,47.16,30.01
227,WYNN,7069,212.37,725.38,11/4/2009,1/4/2022,513.01,11.32,501.69
228,KTOV,4390,62.09,821.35,2/10/2018,9/15/2021,759.26,10.86,748.4
229,RRD,5949,480.89,871.4,6/13/2016,2/19/2017,390.51,34.62,355.89
230,DRUA,8756,300.38,902.04,9/2/2013,7/3/2013,601.66,57.32,544.34
231,TDS,7457,646.06,846.06,6/4/2010,9/29/2015,200.0,83.07,116.93
232,VSAR,3083,214.08,358.53,12/3/2022,1/25/2006,144.45,26.22,118.23
233,CBB^B,4794,722.51,29.02,2/1/2021,4/26/2009,-693.49,56.32,-749.81
234,KMM,1000,268.14,798.89,2/20/2002,9/20/2011,530.75,87.61,443.14
235,NYMTP,6781,543.22,546.06,8/29/2000,7/12/2018,2.84,25.53,-22.69
236,GOGO,6761,548.39,139.53,8/4/2015,8/17/2005,-408.86,41.23,-450.09
237,PAAC,2234,962.93,583.79,4/9/2010,4/30/2009,-379.14,76.2,-455.34
238,TCO,2210,349.86,424.74,8/25/2014,9/11/2001,74.88,84.64,-9.76
239,IROQ,9163,514.94,342.46,12/9/2005,10/8/2022,-172.48,58.17,-230.65
240,BCOR,6353,239.07,383.82,2/2/2002,8/12/2016,144.75,35.53,109.22
241,WRB,1779,439.96,544.12,7/6/2006,11/30/2002,104.16,72.36,31.8
242,KED,6247,569.37,43.46,10/24/2012,12/2/2015,-525.91,55.4,-581.31
243,PL^C,827,177.33,752.85,5/10/2005,7/27/2006,575.52,95.42,480.1
244,RAIL,4294,691.01,209.97,4/25/2021,8/26/2015,-481.04,89.16,-570.2
245,SNOAW,2861,546.93,464.43,10/1/2016,7/20/2017,-82.5,57.41,-139.91
246,ASA,2659,134.72,717.16,3/26/2004,5/18/2018,582.44,3.73,578.71
247,SMMF,2705,185.08,622.67,10/6/2009,12/6/2020,437.59,71.38,366.21
248,CMI,1129,882.88,30.33,11/11/2008,10/6/2016,-852.55,84.49,-937.04
249,CUB,921,129.57,917.25,1/12/2007,2/17/2001,787.68,53.6,734.08
250,UCFC,8423,593.31,725.02,10/4/2017,12/7/2021,131.71,76.57,55.14
251,FFIC,5707,456.31,468.32,6/22/2012,7/3/2011,12.01,33.13,-21.12
252,GAINM,3107,525.51,557.16,4/20/2002,11/11/2022,31.65,45.87,-14.22
253,AGLE,4899,305.47,315.12,3/14/2015,12/8/2018,9.65,62.59,-52.94
254,RUN,8196,509.76,49.92,10/7/2007,12/20/2020,-459.84,48.44,-508.28
255,NYMT,9349,328.29,99.5,1/25/2001,4/8/2004,-228.79,6.18,-234.97
256,ONVI,4041,225.57,326.32,3/16/2003,11/10/2014,100.75,18.1,82.65
257,FSIC,5781,240.54,524.93,4/19/2016,3/23/2009,284.39,8.83,275.56
258,ASBB,3133,204.91,398.1,3/2/2011,4/2/2010,193.19,13.6,179.59
259,ALCO,3157,561.39,323.14,11/8/2007,9/24/2007,-238.25,56.86,-295.11
260,ORBK,1896,26.4,694.55,3/30/2011,5/24/2016,668.15,86.98,581.17
261,NAVG,3712,919.19,577.74,11/23/2016,7/30/2018,-341.45,68.94,-410.39
262,RDS.A,1377,891.47,715.74,7/13/2015,3/21/2012,-175.73,80.2,-255.93
263,DLR^H,4936,954.38,49.95,10/4/2009,3/8/2011,-904.43,45.87,-950.3
264,FGBI,9955,10.83,817.05,12/27/2003,3/20/2013,806.22,79.12,727.1
265,THLD,9133,494.84,489.0,12/26/2013,11/30/2006,-5.84,75.71,-81.55
266,SLRA,3692,348.93,25.33,11/30/2022,1/13/2019,-323.6,33.35,-356.95
267,BFK,8198,700.6,638.82,8/27/2015,9/9/2018,-61.78,79.93,-141.71
268,COMM,5690,927.26,642.18,4/4/2000,3/24/2010,-285.08,5.23,-290.31
269,DELTW,3220,450.2,380.16,10/5/2013,10/19/2006,-70.04,81.29,-151.33
270,IFV,6873,259.66,168.0,11/15/2013,3/7/2021,-91.66,31.18,-122.84
271,CHFN,8420,27.47,867.48,11/19/2008,9/12/2003,840.01,84.63,755.38
272,GJP,4016,270.45,814.49,10/31/2008,12/1/2018,544.04,81.43,462.61
273,HNRG,4929,885.88,740.01,6/29/2000,3/15/2002,-145.87,50.87,-196.74
274,O,1508,658.99,182.68,3/3/2002,4/24/2013,-476.31,8.74,-485.05
275,RARX,8948,618.47,669.5,4/27/2005,4/4/2017,51.03,62.73,-11.7
276,UL,2481,249.05,48.37,10/30/2002,11/3/2014,-200.68,77.55,-278.23
277,CREE,8630,431.86,933.08,11/20/2004,7/16/2000,501.22,88.71,412.51
278,MCHI,4947,126.85,108.2,1/13/2018,11/20/2009,-18.65,85.5,-104.15
279,LULU,7493,975.0,816.08,8/21/2012,12/5/2009,-158.92,98.27,-257.19
280,NTAP,7404,626.17,971.49,12/27/2016,11/16/2011,345.32,73.47,271.85
281,QUOT,9136,318.49,401.42,11/19/2000,5/3/2009,82.93,51.1,31.83
282,OMAA,1331,721.28,915.66,10/14/2012,2/5/2022,194.38,3.41,190.97
283,UZC,9815,15.69,217.36,6/20/2002,4/4/2005,201.67,80.73,120.94
284,TCCB,9205,989.19,951.44,7/25/2017,2/18/2010,-37.75,44.07,-81.82
285,MOMO,2422,743.16,952.15,9/17/2019,9/9/2014,208.99,4.54,204.45
286,CLX,8867,337.31,538.8,8/28/2000,4/19/2003,201.49,73.66,127.83
287,STRT,8550,907.78,341.98,7/7/2000,1/7/2019,-565.8,40.27,-606.07
288,PBSK,1474,849.77,827.6,1/5/2021,7/7/2000,-22.17,24.31,-46.48
289,AI^B,6183,238.04,699.26,9/12/2014,1/8/2020,461.22,41.32,419.9
290,CSTR,4570,168.74,498.36,6/10/2015,10/13/2022,329.62,28.93,300.69
291,FCH,5286,543.09,421.69,1/11/2011,1/29/2014,-121.4,0.62,-122.02
292,THW,1689,821.67,397.94,3/16/2002,4/14/2006,-423.73,70.87,-494.6
293,ASML,6321,49.62,222.82,4/14/2017,7/23/2019,173.2,63.52,109.68
294,SODA,7133,506.7,70.55,6/21/2016,1/14/2006,-436.15,71.04,-507.19
295,PAA,2395,716.79,316.25,5/11/2021,9/7/2015,-400.54,22.64,-423.18
296,AMP,6318,905.42,746.46,1/4/2017,7/13/2001,-158.96,8.45,-167.41
297,IIIN,5747,805.58,563.44,7/23/2002,1/15/2004,-242.14,88.44,-330.58
298,PLUG,8174,361.03,879.31,6/25/2008,10/13/2001,518.28,34.37,483.91
299,INN,5064,801.17,486.18,1/13/2001,3/9/2012,-314.99,28.85,-343.84
300,RFI,8766,661.61,375.75,8/8/2021,7/27/2020,-285.86,52.37,-338.23
301,IPKW,2243,244.05,15.46,8/1/2014,12/15/2017,-228.59,16.98,-245.57
302,INFR,6999,695.04,541.12,10/12/2022,12/6/2014,-153.92,40.46,-194.38
303,SCHW,5331,323.83,142.63,10/4/2006,6/12/2001,-181.2,2.28,-183.48
304,STO,5194,609.84,129.57,3/26/2019,8/4/2018,-480.27,69.14,-549.41
305,SSYS,1492,477.6,885.37,2/23/2014,2/6/2005,407.77,48.94,358.83
306,BDX,7295,781.63,346.21,11/21/2002,12/16/2014,-435.42,64.88,-500.3
307,FDX,7536,781.97,914.87,9/2/2015,10/24/2015,132.9,47.2,85.7
308,IAE,966,316.07,865.29,10/7/2001,7/11/2008,549.22,69.55,479.67
309,HUN,970,842.49,748.69,11/20/2012,4/21/2021,-93.8,92.76,-186.56
310,PPP,5862,655.37,169.29,9/25/2002,12/16/2015,-486.08,7.11,-493.19
311,PAVMW,1503,406.31,713.27,12/29/2004,1/16/2022,306.96,45.93,261.03
